Feature,Importance
G1,0.2509758966129569
absences,0.05923824109381608
age,0.03548796012116071
goout,0.0340302021149761
failures,0.031884988326251834
health,0.03172465644356804
Medu,0.03172316839391364
Fedu,0.027472698442244554
freetime,0.026264045050154852
Walc,0.02549979395981776
famrel,0.02432422230932008
studytime,0.020631552574622194
Dalc,0.015118879018431439
sex_F,0.013744354029120878
traveltime,0.01352607156225733
Fjob_other,0.012665359443786262
Mjob_services,0.012518296634287116
reason_course,0.012481728174845996
famsup_no,0.011859507588529754
paid_no,0.011618825591288713
schoolsup_no,0.011594938854443008
paid_yes,0.011162479473665285
romantic_yes,0.010895488079499232
Fjob_services,0.010560330243872153
activities_yes,0.010528468905352808
sex_M,0.010523620490694668
famsize_GT3,0.010490659296289647
reason_home,0.009729888440881514
nursery_no,0.009678160484595381
activities_no,0.009608379628721936
address_U,0.009555918741617845
famsize_LE3,0.009195347565931947
address_R,0.00919367785380042
Mjob_other,0.009099365068243485
reason_reputation,0.008955820587755544
romantic_no,0.008949936951648245
nursery_yes,0.008925531307910519
famsup_yes,0.008734021752595583
Mjob_health,0.008533068770010404
schoolsup_yes,0.008070280351748595
guardian_mother,0.007908641462753866
Fjob_teacher,0.007795847112718402
internet_yes,0.007615171110390872
Mjob_teacher,0.007597098858926863
guardian_other,0.007346800076458712
Mjob_at_home,0.007119473598737549
guardian_father,0.007023898545414917
internet_no,0.006735757545554447
Pstatus_A,0.005974715098574771
school_MS,0.0058525062014403665
Fjob_health,0.005776835293009784
Pstatus_T,0.005494033730976533
Fjob_at_home,0.0054028733008190865
reason_other,0.00485803849725849
higher_yes,0.003942189938191003
school_GP,0.0037281933182095727
higher_no,0.0030520959759364878
